번호,낚시터명,낚시터유형,소재지 지번주소,WGS84위도,WGS84경도,수상시설물 유형
1,어심바다낚시터,바다,경기도 안산시 단원구 대부남동 1109,37.23606522,126.5658309,수상잔교
2,서울바다낚시터,바다,경기도 안산시 단원구 대부북동 1870-75,37.28096933,126.5529941,없음
3,해솔바다낚시터,바다,경기도 안산시 단원구 대부북동 1870-105,37.27837617,126.5542115,없음
4,북동낚시터,저수지,경기도 안산시 단원구 대부북동 999,37.25690318,126.5810408,연안방갈로
5,못말낚시터,평지,경기도 양주시 남면 경신리 222,37.85149836,126.9821002,잔교형좌대
6,살구골낚시터,평지,경기도 양주시 은현면 도하리 396,37.84001046,127.0042246,잔교형좌대
7,봉암낚시터,저수지,경기도 양주시 남면 황방리 230,37.9234617,126.994659,잔교형좌대
8,부림낚시터(부림저수지),저수지,경기도 양평군 개군면 부리 360,37.43924011,127.5477091,부유형
9,수곡낚시터(어은저수지),저수지,경기도 양평군 지평면 수곡리 95-3,37.44059045,127.5999993,고정형
10,김포실내바다낚시터,기타,김포시 대곶면 율생리 623-18,37.64514736,126.5806472,고정형
11,동교,저수지,경기도 포천시 동교동 670-3,37.85092126,127.1224802,부유형+고정형
12,배양낚시터,저수지,경기도 남양주시 진건읍 배양리 218,37.639,127.1871,없음
13,솟골낚시터,저수지,경기도 남양주시 진건읍 신월리 237-1,37.6717,127.1695,없음
14,본죽낚시터,저수지,경기도 이천시 율면 본죽리 401,37.08,127.52,고정형
15,흥왕낚시터,저수지,인천광역시 강화군 화도면 흥왕리 1135,37.59560307,126.4203356,연안방갈로
16,(주)영종레저,바다,인천광역시 중구 중산동 1853 만정낚시터,37.5154665,126.5499277,최대
17,참샘,평지,경기도 안성시 원곡면 지문리 303-4,37.067592,127.151253,부유형
18,꼴미,저수지,경기도 안성시 고삼면 봉산리 175 외,37.076432,127.288986,고정형+부유형
19,노곡,저수지,경기도 안성시 양성면 노곡리 254-1 외,37.106131,127.253152,부유형
20,삼미낚시터,저수지,경기도 오산시 외삼미동 358,37.19051,127.054368,고정형
21,매송낚시터,저수지,경기도 화성시 매송면 야목리 574번지,37.26439417,126.8864237,고정형
22,스타바다좌대낚시터,바다,경기도 화성시 서신면 송교리 405-1 외 1필지,37.1705191,126.6577333,고정형+부유형
23,덕우낚시터,저수지,경기도 화성시 봉담읍 덕리 70-3번지,37.17108351,126.9358869,고정형+부유형
24,요덕골낚시터,저수지,경기도 용인시 처인구 이동읍 송전리 52,37.13821,127.22,좌대+방갈로
25,아곡낚시터,저수지,경기도 용인시 처인구 백암면 고안리 산153,37.13117,127.4166,좌대
26,능곡 낚시터,평지,경기도 시흥시 능곡동 434,37.36146,126.81064,지상고정형
27,왕골낚시터,평지,"경기도 시흥시 조남동 492-1, 492-2",37.36567,126.85757,지상고정형
28,백학낚시터,저수지,경기도 연천군 백학면 두일리 산 27-1,38.032232,126.9250483,이동형
29,새말낚시터,저수지,경기도 남양주시 진건읍 신월리 44,37.6665,127.1712,없음
30,오즈실내바다 낚시터,평지,경기도 남양주시 진접읍 진벌리 637-2,37.7384,127.2151,없음
31,대영낚시터,저수지,강원특별자치도 횡성군 공근면 부창리 546-2,37.585641,127.9945217,고정형
32,소금강가족낚시터,평지,강원특별자치도 강릉시 연곡면 신왕리 440-1,37.83101752,128.7704452,잔교형좌대
33,백달낚시터,저수지,강원특별자치도 횡성군 우천면 백달리 180,37.439543,128.064043,고정형
34,고산낚시터,저수지,강원특별자치도 원주시 호저면 고산리 159번지 외,37.466789,127.918048,부유형
35,은행나무하우스낚시터,기타,강원특별자치도 춘천시 신동면 팔미리 437-1,37.82288536,127.6968575,고정형
36,은파정낚시터,기타,강원특별자치도 춘천시 동산면 조양리 317-3,37.75582631,127.8117096,고정형
37,거두리낚시터,기타,강원특별자치도 춘천시 동내면 거두리 314-2,37.86044343,127.7888514,고정형
38,이무기낚시터,저수지,강원특별자치도 원주시 소초면 장양리 160-1,37.413059,127.972658,고정형
39,취병낚시터,저수지,강원특별자치도 원주시 문막읍 취병리 731,37.325026,127.785414,고정형
40,금천가든낚시터,평지,강원특별자치도 태백시 금천동 12-12 금천가든낚시터,37.094038,128.994978,고정형
41,혈리낚시터,평지,강원특별자치도 태백시 혈동 77 혈리낚시터,37.129695,128.925167,고정형
42,천동낚시,저수지,강원특별자치도 평창군 평창읍 천동리 129,37.334102,128.380508,고정형
43,평창낚시,저수지,강원특별자치도 평창군 평창읍 유동리 16,37.34894,128.379776,고정현
44,도깨비낚시터,저수지,강원특별자치도 횡성군 우천면 백달리 8,37.44348486,128.0719036,고정현
45,새말낚시터,저수지,강원특별자치도 횡성군 우천면 문암리 229,37.467563,128.0436703,고정현
46,현천낚시터,저수지,강원특별자치도 횡성군 둔내면 현천리 821-2,37.48341109,128.175495,고정현
47,굴운낚시터,평지,강원특별자치도 홍천군 화촌면 굴운리 642,37.72329121,127.966379,고정현
48,구만리낚시터,평지,강원특별자치도 홍천군 북방면 구만리 781,37.71172345,127.7018265,고정현
49,산내들낚시터,기타,강원특별자치도 철원군 김화읍 청양리 1719-6,38.2358501,127.3635403,고정현
50,샘골낚시터,기타,강원특별자치도 춘천시 서면 방동리 744-2,37.91093534,127.6682809,고정현
51,하늘낚시공원낚시터,기타,강원특별자치도 춘천시 서면 당림리 414-8,37.8363223,127.6066043,고정현
52,말고개낚시터,기타,강원특별자치도 춘천시 사북면 신포리 641-1,38.01347085,127.6263903,고정현
53,팔미리낚시터,기타,강원특별자치도 춘천시 신동면 팔미리 861-159,37.82101654,127.7008514,고정현
54,은파정낚시터,기타,강원특별자치도 춘천시 동산면 조양리 317-3,37.75582631,127.8117096,고정현
55,추곡터널낚시터,기타,강원특별자치도 춘천시 북산면 추곡리 658,38.03376186,127.8763568,고정현
56,강촌체험장낚시터,기타,강원특별자치도 춘천시 남면 박암리 514-1,37.72123128,127.5391075,고정현
57,거두리낚시터,기타,강원특별자치도 춘천시 동내면 거두리 314-2,37.86044343,127.7888514,고정현
58,유포리낚시터,기타,강원특별자치도 춘천시 신북읍 유포리 1325,37.94676571,127.7748379,고정현
59,조치원낚시터,평지,세종시 전동면 노장리 543-1,36.672891,127.269954,좌대
60,용천농장낚시터,평지,세종시 금남면 원봉리 546-2,36.453638,127.233773,좌대
61,신흥,저수지,충청북도 괴산군 불정면 신흥리 701-3,36.87440983,127.7893156,"고정형, 부유형"
62,문광,저수지,충청북도 괴산군 문광면 양곡리 3-4,36.769021,127.7466789,"고정형, 부유형"
63,박달산,저수지,충청북도 괴산군 장연면 추점리 58,36.84527458,127.9539078,"고정형, 부유형"
64,추산,저수지,충청북도 괴산군 불정면 추산리 105,36.90966566,127.8198779,고정형
65,어의곡낚시터,저수지,충청북도 단양군 매포읍 응실리 125-1,37,128.3,고정형
66,오동낚시터,저수지,충청북도 보은군 회인면 오동리 303-4,36.5226,127.5813,고정형
67,입큰붕어낚시터,기타,충청북도 옥천군 동이면 세산리 678-8,36.2707834,127.6026089,좌대
68,비야골낚시터,기타,충청북도 옥천군 군북면 증약리 319-2 낚시터,36.3532041,127.5250911,좌대
69,오룡낚시터,저수지,충청북도 옥천군 이원면 백지리 793 주택,36.2282367,127.6764916,좌대
70,의평낚시터,저수지,충청북도 옥천군 이원면 의평리 540-3 주택,36.2111008,127.6231871,좌대. 방갈로
71,백지리낚시터,저수지,충청북도 옥천군 이원면 백지리 621-3,36.2341709,127.6762404,연안좌대
72,방아실낚시터,저수지,충청북도 옥천군 군북면 대정리 734 창고,36.3864965,127.532302,좌대
73,은행리낚시터,저수지,충청북도 옥천군 군서면 사양리 134,36.2687414,127.5033369,좌대
74,"군서낚시터(구,장령산)",저수지,충청북도 옥천군 군서면 동평리 74-1 주택,36.2761886,127.5288594,연안좌대
75,대밖낚시터,기타,충청북도 옥천군 이원면 강청리 10-29,36.2446326,127.6219535,좌대
76,중해레저낚시터,기타,충청북도 옥천군 동이면 지양리 1125-2,36.2954288,127.6135057,좌대
77,강남호,바다,충청남도 태안군 고남면 안면대로 4439,36.408243,126.419369,부유형
78,경남수산,바다,충청남도 태안군 고남면 탄개길 33,36.40810295,126.422973,부유형
79,영목수산좌대,바다,충청남도 태안군 고남면 월고지길 53,36.399587,126.4265487,부유형
80,안면도영목항,바다,충청남도 태안군 고남면 안면대로 4558,36.400055,126.426424,부유형
81,대일,바다,충청남도 태안군 고남면 고남리 125,36.407639,126.42209,부유형
82,미조리,바다,충청남도 태안군 고남면 월고지길 49-7,36.39971346,126.4263766,부유형
83,대박,바다,충청남도 태안군 고남면 안면대로 4407-239,36.4182042,126.428521,부유형
84,천우수산,바다,충청남도 태안군 안면읍 대야로 304-41,36.46427427,126.4163916,부유형
85,여정수산,바다,충청남도 태안군 안면읍 응지마을길 20-7,36.51758799,126.345242,부유형
86,어성,바다,충청남도 태안군 안면읍 대야로 323-7,36.4654124,126.414806,부유형
87,토도수산,바다,충청남도 태안군 안면읍 대야로 323-45,36.46592426,126.4154688,부유형
88,백호좌대,바다,충청남도 태안군 남면 천수만로 340-54,36.619584,126.3479666,부유형
89,상무낚시터,기타,광주광역시 서구 덕흥동 26-1,35.16357724,126.8386542,고정형
90,호암낚시터,기타,전북특별자치도 임실군 신평면 호암리 174-1 호암사계절낚시터,35.654754,127.24716,잔교형좌대
91,자연을닮은사람들,저수지,전북특별자치도 임실군 관촌면 용산리 176-6 자연을닮은사람들,35.645866,127.286135,잔교형좌대
92,신시도 유료낚시터,바다,전북특별자치도 군산시 옥도면 신시도리 산 54,35.81812509,126.4490189,고정형
93,자바라,기타,전북특별자치도 전주시 완산구 평화동2가 909-3,35.7830203,127.1331617,고정형
94,땅끝낚시터,바다,전라남도 해남군 송지면 송호리 1220-11,34.30556,126.516116,연안방갈로
95,콜낚시,바다,전라남도 신안군 압해읍 장감리 529-14,34.81904166,126.3346096,수상좌대
96,나룻가낚시터,바다,전라남도 신안군 압해읍 복룡리 147-1,34.90692907,126.3383241,수상좌대
97,신안낚시터,바다,전라남도 신안군 압해읍 복룡리 144-4 복룡횟집,34.90533275,126.3383433,수상좌대
98,해성낚시터,바다,전라남도 신안군 압해읍 신장리 산4-1,34.483486,126.2092,수상좌대
99,복룡낚시터,바다,전라남도 신안군 압해읍 학교리 618,34.5441767,126.1947507,수상좌대
100,가우도 복합낚시공원,바다,전라남도 강진군 도암면 신기리 산 35-2,34.56687,126.72371,부잔교 낚시터
101,서중어촌체험마을,바다,전라남도 강진군 마량면 마량리 1275-18,34.47072,126.82785,낚시체험바지
102,홀통낚시터,바다,전라남도 무안군 현경면 오류리 1367,35.06163962,126.3321694,부유형
103,늘푸른해상낚시펜션,바다,전라남도 무안군 운남면 성내리 328-5,34.91535387,126.3384729,부유형
104,늘푸른낚시,바다,전라남도 무안군 운남면 성내리 328-5,34.91535387,126.3384729,부유형
105,앵남낚시터,평지,전라남도 화순군 화순읍 앵남리 21-3,35.05032669,126.924278,고정형
106,소경어촌계낚시터,바다,전라남도 여수시 경호동 809,34.70848891,127.707826,고정형
107,외동어촌계낚시터,바다,전라남도 여수시 경호동 578-2,34.71856636,127.729462,고정형
108,돌산해양낚시공원낚시터,바다,전라남도 여수시 돌산읍 우두리 806,34.727104,127.73669,고정형
109,여수가족생활낚시터,바다,전라남도 여수시 신월동 93-7,34.4258515,127.4255849,고정형
110,천성낚시터,바다,부산광역시 강서구 천성동 488-6,35.02301425,128.8095884,수상방갈로
111,동선낚시터,바다,부산광역시 강서구 동선동 418,35.05283693,128.8324001,수상방갈로
112,동삼어촌계 유어장 낚시터,바다,부산광역시 영도구 동삼동 1181,35.06978643,129.0812768,바지형 해상낚시터4동
113,용소사계절,저수지,부산광역시 기장군 장안읍 용소리 170-4,35.34273,129.24519,없음
114,당사해양낚시공원,바다,울산광역시 북구 당사동 508,35.581079,129.455723,잔교식 좌대
115,비들지낚시터,저수지,대구광역시 군위군 군위읍 금구리 267,36.2031,128.5722,없음
116,대평낚시터,저수지,대구광역시 달성군 하빈면 대평리 934,35.93002896,128.4692446,고정형
117,도채낚시터,저수지,대구광역시 달성군 하빈면 묘리 585-3,35.91802965,128.4215712,없음
118,가곡낚시터,저수지,대구광역시 달성군 하빈면 무등리 274,35.92279194,128.4667287,없음
119,나곡바다낚시공원,바다,경상북도 울진군 북면 나곡리 30-2 나곡바다낚시공원 종합관,37.11825867,129.3768916,낚시잔교
120,울진시범바다목장해상낚시,바다,경상북도 울진군 평해읍 거일리 282-6,36.69906644,129.4756391,낚시잔교
121,새마을낚시터,저수지,경상북도 경주시 내남면 망성리 443번지,35.78205433,129.1865307,고정형
122,삼괴정낚시터,저수지,경상북도 경주시 강동면 다산리 250,36.04980649,129.2594352,고정형
123,동산낚시터,저수지,경상북도 경주시 천북면 동산리 206,35.90181187,129.275109,고정형
124,덕방낚시터,저수지,경상북도 경주시 외동읍 냉천리 342번지 13호,35.70590206,129.297816,고정형
125,인동낚시터,저수지,경상북도 경주시 강동면 인동리 507번지,35.98661005,129.2624603,고정형
126,광지낚시터,저수지,경상북도 경주시 건천읍 조전리 546-4,35.83813866,129.0986789,고정형
127,매전낚시터,저수지,경상북도 청도군 매전면 호화리 752-71,35.637162,128.851936,고정형
128,구봉낚시터,저수지,경상북도 칠곡군 지천면 낙산리 655-4,35.94234,128.511751,고정형
129,호암지낚시터,저수지,경상북도 칠곡군 약목면 남계리 1046,36.024887,128.355128,고정형
130,유동낚시터,바다,경상남도 통영시 욕지면 서산리 117-1 마을회관,34.80872192,128.2405895,수상방갈로 1
131,한마음낚시터,바다,경상남도 통영시 욕지면 노대리 44-1,34.66611518,128.2483465,수상방갈로
132,통영등대낚시공원,바다,경상남도 통영시 산양읍 영운리 72-12,34.81074538,128.441055,잔교형좌대
133,제2유동낚시터,바다,경상남도 통영시 욕지면 서산리 산33,34.61695055,128.2325726,수상방갈로
134,중화어촌계낚시터,바다,경상남도 통영시 산양읍 연화리 산228,34.77924079,128.3789691,수상좌대
135,외지유료낚시터,바다,경상남도 통영시 사량면 양지리 677-6,34.81235844,128.2147933,수상방갈로
136,옥동산내어촌계 유료낚시터,바다,경상남도 통영시 욕지면 동항리 183-4,34.63404947,128.2808186,수상방갈로
137,백학어촌계 유료낚시터,바다,경상남도 통영시 사량면 양지리 산 88-1,34.80861114,128.2550604,수상방갈로
138,사량도 바다낚시터,바다,경상남도 통영시 사량면 금평리 247-10,34.84478654,128.223943,수상방갈로
139,탄항좌대낚시터,바다,경상남도 통영시 욕지면 노대리 산14-6,34.679583,128.253251,수상좌대
140,바지선 선상낚시,바다,제주특별자치도 서귀포시 토평동 516 남측 450m 지선,33.24568966,126.5775385,바지선
141,낚고락고,바다,제주특별자치도 제주시 조천읍 신흥리 711-1,33.55126326,126.6469431,가두리낚시터
142,올레바당체험마을,바다,제주특별자치도 제주시 한림읍 수원리 724-5,33.42543711,126.2640929,수상시설물A동+B동